0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
227	tower	41.1585624	-8.4597653	1393647148						NA						NA	NA	
228	tower	41.1619741	-8.4596338	1393648671						NA						NA	NA	
229	tower	41.167188	-8.4603174	1393649707				Bing		NA						NA	NA	
230	tower	41.1706822	-8.4585974	1393651808				Bing		NA						NA	NA	
231	tower	41.1751353	-8.4577211	1393654651						NA						NA	NA	
232	tower	41.1764928	-8.4568469	1393654980						NA						NA	NA	
233	tower	41.1768234	-8.4574187	1393655150						NA						NA	NA	
234	tower	41.1819972	-8.4564518	1393655526						NA						NA	NA	
235	tower	41.1838081	-8.4561229	1393655528						NA						NA	NA	
236	tower	41.1864894	-8.4556483	1393655529						NA						NA	NA	
237	tower	41.1887919	-8.4552046	1393655534						NA						NA	NA	
238	tower	41.19289	-8.454432	1393655538						NA						NA	NA	
239	tower	41.0717467	-8.4557683	1417922326						NA						NA	NA	
240	tower	41.0721028	-8.4563972	1417922367						NA						NA	NA	
241	tower	41.0708232	-8.4569048	1523925571						NA						NA	NA	
242	tower	41.071074	-8.4570711	1523925580						NA						NA	NA	
243	tower	41.0745016	-8.4552782	1523925582				bing		NA						NA	NA	
244	tower	41.0748876	-8.4559618	1523925584						NA						NA	NA	
245	tower	41.0772811	-8.4566176	1523925588						NA						NA	NA	
246	tower	41.1110371	-8.4728974	1523925590						NA						NA	NA	
247	tower	41.1215361	-8.4743358	1523925594						NA						NA	NA	
248	tower	41.1274323	-8.4719	1523925596						NA						NA	NA	
249	tower	41.1299367	-8.4708998	1523925597						NA						NA	NA	
250	tower	41.1353812	-8.4692406	1523925600						NA						NA	NA	
251	tower	41.1431587	-8.4668556	1523925603						NA						NA	NA	
252	tower	41.1463321	-8.4658995	1523925608						NA						NA	NA	
253	tower	41.1493789	-8.4649773	1523925610				bing		NA						NA	NA	
254	tower	41.1503525	-8.4656661	1523925611						NA						NA	NA	
255	tower	41.1528767	-8.4638989	1523925613						NA						NA	NA	
