0,power,lat,lon,id,source,location:transition,line_attachment,material,line_management,design,ref,description,operator,operator:wikidata,structure,colour,line_arrangement,mapillary,operator:wikipedia,cables,disused,fixme
195,tower,41.1493789,-8.4649773,1523925610,bing,,,,,,,,,,,,,,,,,
196,tower,41.1503525,-8.4656661,1523925611,,,,,,,,,,,,,,,,,,
197,tower,41.1528767,-8.4638989,1523925613,,,,,,,,,,,,,,,,,,
198,tower,41.1530884,-8.4644625,1523925615,,,,,,,,,,,,,,,,,,
199,tower,41.1546375,-8.4619202,1523925619,,,,,,,,,,,,,,,,,,
200,tower,41.154988,-8.4624465,1523925621,,,,,,,,,,,,,,,,,,
201,tower,41.1561425,-8.4595962,1523925623,,,,,,,,,,,,,,,,,,
202,tower,41.1564916,-8.4570478,1523925629,,,,,,,,,,,,,,,,,,
203,tower,41.1571543,-8.4569933,1523925639,,,,,straight;termination,,,,,,,,,,,,,
204,tower,41.1573929,-8.4567429,1523925644,,,,,,,,,,,,,,,,,,
205,tower,41.1578771,-8.4565556,1523925649,,,,,,,,,,,,,,,,,,
206,tower,41.158488,-8.4587809,1523925651,,,,,,,,,,,,,,,,,,
207,tower,41.1599023,-8.459876,1523925653,,,,,,,,,,,,,,,,,,
208,tower,41.162221,-8.4601353,1523925656,,,,,,,,,,,,,,,,,,
209,tower,41.1644262,-8.4597105,1523925659,,,,,,,,,,,,,,,,,,
210,tower,41.1674386,-8.4591552,1523925662,,,,,,,,,,,,,,,,,,
211,tower,41.1964002,-8.4537624,1523925664,,,,,,,,,,,,,,,,,,
212,tower,41.1976633,-8.4544396,1523925665,,,,,,,,,,,,,,,,,,
213,tower,41.1998242,-8.4586365,1523925676,,,,,,,,,,,,,,,,,,
214,tower,41.2020432,-8.4629047,1523925678,,,,,,,,,,,,,,,,,,
215,tower,41.2041899,-8.4670029,1523925686,,,,,,,,,,,,,,,,,,
216,tower,41.2061031,-8.4707071,1523925688,,,,,,,,,,,,,,,,,,
217,tower,41.208229,-8.4747278,1523925690,,,,,,,,,,,,,,,,,,
218,tower,41.2098036,-8.4778383,1523925693,,,,,,,,,,,,,,,,,,
219,tower,41.2113127,-8.4807013,1523925695,,,,,,,,,,,,,,,,,,
220,tower,41.2137462,-8.4852912,1523925697,,,,,,,,,,,,,,,,,,
221,tower,41.2159267,-8.4893081,1523925701,,,,,,,,,,,,,,,,,,
222,tower,41.217266,-8.4918119,1523925703,,,,,,,,,,,,,,,,,,
223,tower,41.2190536,-8.4950774,1523925704,,,,,,,,,,,,,,,,,,
224,tower,41.2205058,-8.4977264,1523925709,,,,,,,,,,,,,,,,,,
225,tower,41.2228944,-8.5021425,1523925711,,,,,,,,,,,,,,,,,,
226,tower,41.2265246,-8.5087479,1523925713,,,,,,,,,,,,,,,,,,
227,tower,41.2270464,-8.5099807,1523925714,,,,,,,,,,,,,,,,,,
228,tower,41.2294367,-8.5151595,1523925718,,,,,,,,,,,,,,,,,,
229,tower,41.2303863,-8.5171629,1523925719,,,,,,,,,,,,,,,,,,
230,tower,41.231365,-8.6028387,1523925722,,,,,,,,,,,,,,,,,,
231,tower,41.2316715,-8.5200518,1523925724,Bing,,,,,,,,,,,,,,,,,
232,tower,41.2319123,-8.5222823,1523925728,,,,,,,,,,,,,,,,,,
233,tower,41.2323892,-8.5267571,1523925731,,,,,,,,,,,,,,,,,,
234,tower,41.2326383,-8.5984476,1523925733,,,,,,,,,,,,,,,,,,
235,tower,41.2328579,-8.5311694,1523925736,,,,,,,,,,,,,,,,,,
236,tower,41.2332552,-8.5351149,1523925738,,,,,,,,,,,,,,,,,,
237,tower,41.2338586,-8.5407403,1523925742,,,,,,,,,,,,,,,,,,
238,tower,41.234074,-8.5938259,1523925744,,,suspension,,,,,,,,,,,,,,,
239,tower,41.2341977,-8.5438625,1523925746,,,,,,,,,,,,,,,,,,
240,tower,41.2347186,-8.5489089,1523925750,,,,,,,,,,,,,,,,,,
241,tower,41.2351291,-8.590321,1523925753,,,,,,,,,,,,,,,,,,
242,tower,41.2353804,-8.5550707,1523925754,Bing,,,,,,,,,,,,,,,,,
243,tower,41.2357386,-8.5584595,1523925756,,,,,,,,,,,,,,,,,,
244,tower,41.2362466,-8.5631892,1523925758,,,,,,,,,,,,,,,,,,
245,tower,41.2364551,-8.586146,1523925762,,,,,,,,,,,,,,,,,,
246,tower,41.2367355,-8.567746,1523925764,,,,,,,,,,,,,,,,,,
247,tower,41.2371811,-8.5718363,1523925765,,,,,,,,,,,,,,,,,,
248,tower,41.2375955,-8.5761355,1523925768,,,,,,,,,,,,,,,,,,
249,tower,41.2380953,-8.5809571,1523925770,,,,,,,,,,,,,,,,,,
250,tower,41.1576134,-8.4514511,1556207203,,,,,,,,,,,,,,,,,,
251,tower,41.1582512,-8.4575111,1556207205,,,,,,,,,,,,,,,,,,
252,tower,41.1599257,-8.4587223,1556207206,,,,,,,,,,,,,,,,,,
253,tower,41.1654681,-8.4589306,1556207217,,,,,,,,,,,,,,,,,,
254,tower,41.1704515,-8.4579796,1556207220,,,,,,,,,,,,,,,,,,
255,tower,41.1744652,-8.4572162,1556207221,,,,,,,,,,,,,,,,,,
256,tower,41.1797948,-8.4562095,1556207224,,,,,,,,,,,,,,,,,,
257,tower,41.1832568,-8.4555348,1556207225,,,,,,,,,,,,,,,,,,
258,tower,41.1881095,-8.4546329,1556207226,,,,,,,,,,,,,,,,,,
259,tower,41.1925554,-8.4538178,1556207228,,,,,,,,,,,,,,,,,,
260,tower,41.1965257,-8.4530588,1556207238,,,,,,,,,,,,,,,,,,
261,tower,41.2016766,-8.4518893,1556207240,,,,,,,,,,,,,,,,,,
262,tower,41.204207,-8.4230744,1556207242,,,,,,,,,,,,,,,,,,
263,tower,41.204954,-8.4509362,1556207243,,,,,,,,,,,,,,,,,,
264,tower,41.2062317,-8.4135539,1556207244,,,,,,,,,,,,,,,,,,
265,tower,41.2070638,-8.4305138,1556207255,,,,,,,,,,,,,,,,,,
266,tower,41.2073793,-8.41127,1556207256,,,,,,,,,,,,,,,,,,
267,tower,41.2074248,-8.4501059,1556207266,,,,,,,,,,,,,,,,,,
268,tower,41.2095864,-8.4067617,1556207269,,,,,,,,,,,,,,,,,,
269,tower,41.2096298,-8.4007449,1556207270,,,,,,,,,,,,,,,,,,
270,tower,41.2104815,-8.434731,1556207272,,,,,,,,,,,,,,,,,,
271,tower,41.2114586,-8.4381018,1556207283,,,,,,,,,,,,,,,,,,
272,tower,41.2117655,-8.4484014,1556207285,,,,,,,,,,,,,,,,,,
273,tower,41.2123798,-8.4421053,1556207286,,,,,,,,,,,,,,,,,,
274,tower,41.213596,-8.4492476,1556207287,,,,,,,,,,,,,,,,,,
275,tower,41.2136594,-8.4480809,1556207288,,,,,,,,,,,,,,,,,,
276,tower,41.2141236,-8.4504686,1556207289,,,,,,,,,,,,,,,,,,
277,tower,41.2145823,-8.450394,1556207291,,,,,,,,,,,,,,,,,,
278,tower,41.2152135,-8.4558898,1556207326,,,,,,,,,,,,,,,,,,
279,tower,41.216974,-8.4646156,1556207333,,,,,,,,,,,,,,,,,,
280,tower,41.2177988,-8.4685696,1556207338,,,,,,three-level,,,,,,,,,,,,
281,tower,41.2191722,-8.4752908,1556207345,,,,,,three-level,,,,,,,,,,,,
282,tower,41.220636,-8.4824494,1556207351,,,,,,,,,,,,,,,,,,
283,tower,41.2220645,-8.4896372,1556207359,,,,,,,,,,,,,,,,,,
284,tower,41.2233949,-8.4962029,1556207410,,,,,,,,,,,,,,,,,,
285,tower,41.2247086,-8.5027226,1556207415,,,,,,,,,,,,,,,,,,
286,tower,41.2278793,-8.5096173,1556207420,,,,,,,,,,,,,,,,,,
287,tower,41.2291285,-8.5123922,1556207430,,,,,,,,,,,,,,,,,,
288,tower,41.2306268,-8.6025823,1556207507,,,,,,,,,,,,,,,,,,
289,tower,41.2309941,-8.5165605,1556207585,Bing,,,,,,,,,,,,,,,,,
290,tower,41.2317596,-8.6030555,1556207705,,,,,,,,,,,,,,,,,,
291,tower,41.2316575,-8.6042648,1556207780,,,,,,,,,,,,,,,,,,
292,tower,41.2321389,-8.6000854,1556207793,,,,,,,,,,,,,,,,,,
293,tower,41.2318423,-8.6044409,1556207798,,,,,,,,,,,,,,,,,,
294,tower,41.2321357,-8.6010289,1556207800,,,,,,,,,,,,,,,,,,
295,tower,41.2324726,-8.51981,1556207805,Bing,,,,,,,,,,,,,,,,,
296,tower,41.2327727,-8.5232466,1556207807,Bing,,,,,,,,,,,,,,,,,
297,tower,41.2329304,-8.5983202,1556207817,,,,,,,,,,,,,,,,,,
298,tower,41.2331891,-8.52782,1556207881,Bing,,,,,,,,,,,,,,,,,
299,tower,41.2338101,-8.5331767,1556207883,Bing,,,,,,,,,,,,,,,,,
300,tower,41.2340844,-8.535306,1556207886,Bing,,,,,,,,,,,,,,,,,
301,tower,41.2343578,-8.5938098,1556207888,,,,,,,,,,,,,,,,,,
302,tower,41.2345873,-8.5394715,1556207897,Bing,,,,,,,,,,,,,,,,,
303,tower,41.235041,-8.5443159,1556207904,,,,,,,,,,,,,,,,,,
304,tower,41.235238,-8.5912188,1556207965,,,,,,,,,,,,,,,,,,
305,tower,41.2355167,-8.5487279,1556207972,Bing,,,,,,,,,,,,,,,,,
306,tower,41.2361132,-8.5542182,1556207980,Bing,,,,,,,,,,,,,,,,,
307,tower,41.2366339,-8.5592731,1556207982,,,,,,,,,,,,,,,,,,
308,tower,41.2368293,-8.5862335,1556207984,,,,,,,,,,,,,,,,,,
309,tower,41.2370266,-8.5629466,1556207990,,,,,,,,,,,,,,,,,,
310,tower,41.237578,-8.5682959,1556207996,,,,,,,,,,,,,,,,,,
311,tower,41.2378801,-8.5826587,1556208051,,,,,,,,,,,,,,,,,,
312,tower,41.2380814,-8.5725794,1556208054,,,,,,,,,,,,,,,,,,
313,tower,41.2384134,-8.5760041,1556208058,,,,,,,,,,,,,,,,,,
314,tower,41.238767,-8.5796017,1556208062,,,,,,,,,,,,,,,,,,
315,tower,41.1910979,-8.4419509,1562100098,,,,,,,,,,,,,,,,,,
316,tower,41.1943429,-8.4415288,1562101769,,,,,,,,,,,,,,,,,,
317,tower,41.1985121,-8.4410011,1562103069,,,,,,,,,,,,,,,,,,
318,tower,41.2019064,-8.4406389,1562103137,,,,,,,,,,,,,,,,,,
319,tower,41.204321,-8.4402969,1562103138,,,,,,,,,,,,,,,,,,
320,tower,41.2072995,-8.4399474,1562103139,,,,,,,,,,,,,,,,,,
321,tower,41.2103541,-8.4387062,1562103140,,,,,,,,,,,,,,,,,,
322,tower,41.2118418,-8.4360813,1562103141,,,,,,,,,,,,,,,,,,
323,tower,41.2119175,-8.4344083,1562103142,,,,,,,,,,,,,,,,,,
324,tower,41.1204185,-8.4002899,1568378480,,,,,,,,,,,,,,,,,,
325,tower,41.1230735,-8.4022358,1568378499,,,,,,,,,,,,,,,,,,
326,tower,41.1257391,-8.4042338,1568378506,,,,,,,,,,,,,,,,,,
327,tower,41.1290991,-8.406649,1568378531,,,,,,,,,,,,,,,,,,
328,tower,41.13338,-8.4098523,1568378536,,,,,,,,,,,,,,,,,,
329,tower,41.1349973,-8.4127723,1568378548,,,,,,,,,,,,,,,,,,
330,tower,41.1366985,-8.4158155,1568378556,,,,,,,,,,,,,,,,,,
331,tower,41.1399334,-8.4218055,1568378561,,,,,,,,,,,,,,,,,,
