power lat lon id GSV_status GSV_lat GSV_lon GSV_date GSV_pano_id elev_GSV distance heading fov elev_tower diff_elev pitch X1 X2 X3 X4 Y1 Y2 Y3 Y4
tower 41.2187797 -8.538256 1639500091 OK 41.2189819 -8.5391437 2014-07 kjexdXvtj-yMNLvWeTkD4A 150.800003051758 101.058543516843 102.83188131028 78.4247614173504 161.400009155273 10.6000061035156 5.98784531607057 -8.53719685714951 -8.5391272 -8.535229 -8.5397084 41.2202314712976 41.2189872 41.2184585 41.2182589
tower 41.2193837 -8.5382633 1639500094 OK 41.2190742289181 -8.53916933323577 2014-07 nw0DxL4EfdbQECXbxLnawQ 150.800003051758 106.27451957455 71.1415245778006 77.7617136134046 161.400009155273 10.6000061035156 5.69594238433208 -8.53748920537347 -8.5390784 -8.5391272 NA 41.2204447545687 41.2201541 41.2189872 NA
tower 41.2195748 -8.5285276 1639500095 OK 41.2199372559425 -8.52796039674588 2019-11 PWzxbzar0ibAMVJ4s_iKcg 99.5 74.7165926938089 237.420485255198 81.7733144880751 101.5 2 1.53331673409918 -8.52806653486961 -8.5286579 -8.5272137 -8.5313972645525 41.2200188525939 41.2228509 41.2189649 41.2179528775459
tower 41.2196445 -8.5379528 1639500097 OK 41.2202476353069 -8.53719635441045 2019-10 Fb9OrV2WXoZGtUve3b2zeA 133.800003051758 107.388247978795 231.433661011777 77.6201379687973 137.400009155273 3.60000610351562 1.92002331973184 -8.53741073704785 -8.5390784 -8.53528571475048 -8.5391272 41.2203875078342 41.2201541 41.2196345233719 41.2189872
tower 41.2208587 -8.5279512 1639500100 OK 41.221065969522 -8.52798275701944 2019-10 DzNQ3RII3rA71qpl0LNoPQ 102.599998474121 23.2720441610334 171.343134051253 88.3128757422415 102.599998474121 0 0 -8.527405 -8.52808272727681 -8.52661865763754 -8.52843066159667 41.2224088 41.2223432653027 41.2192925798096 41.2203969297388
tower 41.2212282 -8.5283315 1639500102 OK 41.2209957092972 -8.52822362449155 2019-10 Si1FzVfqmZc-hiVgT7KLcQ 102.599998474121 28.4491618883605 335.108735895969 87.6547675565643 102.599998474121 0 0 -8.527405 -8.5283679 -8.52665688878791 -8.52879828553241 41.2224088 41.222318 41.2192600506157 41.2207786380774
tower 41.2213335 -8.5390892 1639500105 OK 41.2210820629003 -8.53914599967121 2015-04 etqlxaBau0_sbipGGEu93g 114.599998474121 28.6127810873072 12.7294620621873 87.6339685058508 100.700004577637 -13.8999938964844 -25.9103273205292 -8.5385952 -8.539787 -8.53892346490777 -8.53976907933561 41.2223139 41.2214058 41.220685909071 41.2212535004761
tower 41.221489 -8.512011 1639500115 OK 41.2198771407086 -8.51535282023256 2019-10 OezOr83KVs4AMz2JpQs36A 196.600006103516 411.836220926278 64.2506041975483 38.919124458524 224.900009155273 28.3000030517578 3.93099411055914 -8.5119787 -8.51335754627836 -8.51155035184474 -8.51389852124906 41.2233241 41.2221198358417 41.2208019528536 41.2194475307445
tower 41.2216631 -8.5262733 1639500116 OK 41.221818 -8.5259775 2014-07 iN9ey_rYhCb7N2o969cBSw 112.800003051758 37.0633055683936 242.360539057536 86.5597492921534 112.599998474121 -0.200004577636719 -0.309182000236705 -8.5238859 -8.5266298 -8.5249615 -8.52738821591926 41.2239037 41.2224673 41.2209421 41.2212747880801
tower 41.2228676 -8.5416122 1639500117 OK 41.2228394790695 -8.54191115856139 2019-10 l6-A__itKXhUEgO-s88PMg 95.9000015258789 33.3308821895288 84.6263997894565 87.0342098911616 95.9000015258789 0 0 -8.5409907 -8.5421305 -8.54160602027572 -8.5423981 41.2229293 41.2232616 41.2221904052142 41.2221515
tower 41.223191 -8.5412433 1639500118 OK 41.2231603300738 -8.54127965240412 2019-10 rrbzUrZB84T15uttL0XJKw 88 5.27937944809335 49.8462236910581 90 80.9000015258789 -7.09999847412109 -53.3664400616371 -8.5387292 -8.5421305 -8.5404158 -8.5419592521075 41.2237725 41.2232616 41.2224906 41.2228743747529
tower 41.2232479 -8.5408743 1639500119 OK 41.223088 -8.5407298 2019-10 gO39Q9ZWvuRfarQSZhewpA 80.9000015258789 23.9225628113597 317.896200288023 88.2301826934712 80.9000015258789 0 0 -8.5387292 -8.5421305 -8.539982 -8.54183477725119 41.2237725 41.2232616 41.2231118 41.2226326876155
tower 41.2233199 -8.5244849 1639500121 OK 41.2231796970867 -8.52436089266466 2019-10 -oAxCSxzruRft0hXx9sYWQ 129.400009155273 20.7764829637688 318.507731636807 88.630108097826 129.400009155273 0 0 -8.5238859 -8.5257769 -8.5241568 -8.52525119700965 41.2239037 41.2244767 41.221386 41.2218219345627
tower 41.2239313 -8.5109952 1639500124 OK 41.2215437 -8.5164504 2018-05 pBVLP5nPw1-70vYaDUaqag 194 660.984643162742 66.362247980998 15 248.699996948242 54.6999969482422 4.73075090548824 -8.509558 -8.51226694323383 -8.507804 -8.5118486 41.224096 41.2244200899626 41.222173 41.2231896
tower 41.2247493 -8.5414061 1639500133 OK 41.2251297886736 -8.54222278285323 2019-09 fi-I7EhPCFzXWHATk_sXNg 94.0999984741211 100.007397270607 114.980588681704 78.558381702889 88.7000045776367 -5.39999389648438 -3.09073832969309 -8.5387748 -8.54216758491677 -8.5409926 -8.54155933545957 41.2254913 41.2252234687468 41.2229899 41.2232808351074
tower 41.2247741 -8.5237419 1639500136 OK 41.2247701 -8.5235324 2019-10 CUTtY7wpqkLqFiBczwXzfg 135.400009155273 23.2587382773134 271.093819929071 88.3145671681381 135.400009155273 0 0 -8.52364978081452 -8.5245645 -8.52361687702257 -8.5257769 41.2255477900754 41.2266716 41.2239239083362 41.2244767
tower 41.2251442 -8.5241168 1639500141 OK 41.2256122 -8.5240274 2009-07 pygLgRDuZkWImGHGypMn7A 125.5 52.8873195722422 190.814673808219 84.5482220882743 131.300003051758 5.80000305175781 6.25845645233255 -8.52406289025721 -8.5245645 -8.52354715370699 -8.5257769 41.225596976832 41.2266716 41.2247417852678 41.2244767
